BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 50, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.34612730484708004, 'precision': 0.20834713481285932, 'recall': 0.048705974630787324, 'map': 0.13674174671524866, 'NDCG': 0.09156436757631486, 'MRR': 0.38477420779507515}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3978690515623276, 'precision': 0.2667770785028262, 'recall': 0.07283647066625365, 'map': 0.17851118839939695, 'NDCG': 0.12408269275607678, 'MRR': 0.46051948768908013}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 300, 'similarity': 'pearson', 'normalize': False} - results: {'AUC': 0.23258253284752128, 'precision': 0.14574362371646432, 'recall': 0.023225371886017573, 'map': 0.09462482978175268, 'NDCG': 0.047203278261157874, 'MRR': 0.26173401788671746}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3183311250966101, 'precision': 0.21652865187148712, 'recall': 0.04329723014430106, 'map': 0.14584865297559962, 'NDCG': 0.08086322081287162, 'MRR': 0.37373578447609496}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.26704482720547623, 'precision': 0.17949652202716473, 'recall': 0.030021113890684684, 'map': 0.12037038570534807, 'NDCG': 0.06032779083206093, 'MRR': 0.3102462183946114}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.24464502594678172, 'precision': 0.16416031798609032, 'recall': 0.025929414573144866, 'map': 0.10876196128225014, 'NDCG': 0.05212288405487092, 'MRR': 0.2819725074527985}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.16111847190018763, 'precision': 0.11169261344816192, 'recall': 0.012856443865213455, 'map': 0.07300347797283874, 'NDCG': 0.0294290823615861, 'MRR': 0.18760075080048663}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.36020481395605564, 'precision': 0.24574362371647107, 'recall': 0.05608647901109397, 'map': 0.16304249015494512, 'NDCG': 0.10159347871999908, 'MRR': 0.42025229104560013}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 50, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.37375786684332524, 'precision': 0.24730043060617074, 'recall': 0.06137747236103231, 'map': 0.16456281513378318, 'NDCG': 0.10611213944853046, 'MRR': 0.4302224798498391}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.30027878988627554, 'precision': 0.20082808877112163, 'recall': 0.03994298426672181, 'map': 0.13410018954031927, 'NDCG': 0.07493123772533894, 'MRR': 0.3479932648779942}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.24033896433697682, 'precision': 0.16425968863862464, 'recall': 0.025559130355996867, 'map': 0.10924841743034895, 'NDCG': 0.05249825202022087, 'MRR': 0.2790631555702768}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40897924257480384, 'precision': 0.27505796621398937, 'recall': 0.07534054558503331, 'map': 0.18391966618821579, 'NDCG': 0.12702178197884953, 'MRR': 0.47220934084133886}
BayesianSearch: Best config is: Config {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True}, map value is 0.1846
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.4219993368700262, 'precision': 0.282493368700277, 'recall': 0.07858463600181399, 'map': 0.19304252320954907, 'NDCG': 0.13334322175092406, 'MRR': 0.49046474358974473}
