BayesianSearch: Testing config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001} - Exception No module named 'Base'
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 170} - results: {'AUC': 0.3368803135696145, 'precision': 0.2024842663133565, 'recall': 0.04807588989493509, 'map': 0.13247897574620093, 'NDCG': 0.0868059834918475, 'MRR': 0.3760765154024507}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 15} - results: {'AUC': 0.3327536711935513, 'precision': 0.2041073203047447, 'recall': 0.049196110572149426, 'map': 0.13145058150233788, 'NDCG': 0.08725109883639919, 'MRR': 0.3717732140885498}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 20} - results: {'AUC': 0.3313321188031361, 'precision': 0.20281550182180286, 'recall': 0.048491083457338435, 'map': 0.1306973427551445, 'NDCG': 0.08638659181222462, 'MRR': 0.3708043502263435}
BayesianSearch: Best config is: Config {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 290}, map value is 0.1356
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 290} - results: {'AUC': 0.3496352785145891, 'precision': 0.20988063660478226, 'recall': 0.05207723949394296, 'map': 0.13846572907456636, 'NDCG': 0.09192654625026889, 'MRR': 0.3918186339522536}
BayesianSearch: Testing config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06} - Exception integer division or modulo by zero
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 275} - results: {'AUC': 0.3229408192558242, 'precision': 0.1942365021530374, 'recall': 0.04563514682304925, 'map': 0.12674809539582796, 'NDCG': 0.08156920509526176, 'MRR': 0.35981285193772744}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.0, 'epochs': 265} - results: {'AUC': 0.32176769349674317, 'precision': 0.1938390195429016, 'recall': 0.04397288338000496, 'map': 0.12663874167310826, 'NDCG': 0.07869250392157993, 'MRR': 0.3573147841448598}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 120} - results: {'AUC': 0.2718339405984323, 'precision': 0.18353759523021365, 'recall': 0.0414084428630629, 'map': 0.1074574914430837, 'NDCG': 0.06755866694537742, 'MRR': 0.29475819807883336}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 110} - results: {'AUC': 0.31526719664348046, 'precision': 0.19271281881418303, 'recall': 0.04445534230355616, 'map': 0.12514477752015093, 'NDCG': 0.07813058145035462, 'MRR': 0.34994203378602107}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 265} - results: {'AUC': 0.3197526774870267, 'precision': 0.19218284200066876, 'recall': 0.043563637174302235, 'map': 0.12608083986603458, 'NDCG': 0.07805733281435197, 'MRR': 0.3521971955393614}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 215} - results: {'AUC': 0.3187589709616872, 'precision': 0.19453461411063885, 'recall': 0.04399759675299929, 'map': 0.12644726914725354, 'NDCG': 0.07893591971341696, 'MRR': 0.35525560340068363}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 155} - results: {'AUC': 0.3170199845423429, 'precision': 0.19234845975489184, 'recall': 0.04442702590075644, 'map': 0.12579455117588678, 'NDCG': 0.07823212831285753, 'MRR': 0.3515043612675269}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 155} - results: {'AUC': 0.3148945566964782, 'precision': 0.19205034779729008, 'recall': 0.04390875683150598, 'map': 0.12534172463288126, 'NDCG': 0.07782016512108399, 'MRR': 0.35197361157115997}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 260} - results: {'AUC': 0.3168957712266751, 'precision': 0.194733355415707, 'recall': 0.04411867774606925, 'map': 0.1268128243347695, 'NDCG': 0.07830337286925572, 'MRR': 0.3549602517389858}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 250} - results: {'AUC': 0.31668874903389643, 'precision': 0.1913547532295522, 'recall': 0.043544677195165596, 'map': 0.12438937654116614, 'NDCG': 0.07718510923436872, 'MRR': 0.35145467594126023}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 230} - results: {'AUC': 0.3215468698244455, 'precision': 0.19211659489897934, 'recall': 0.04509181333779638, 'map': 0.12639477752015135, 'NDCG': 0.08063821361193346, 'MRR': 0.3587501380147949}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 140} - results: {'AUC': 0.2757811637407526, 'precision': 0.18459754885724286, 'recall': 0.042172828741090684, 'map': 0.10850106731441737, 'NDCG': 0.06863939056399165, 'MRR': 0.29873026388428775}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 160} - results: {'AUC': 0.3160124765374849, 'precision': 0.1915866180854648, 'recall': 0.043831160473170226, 'map': 0.12439420705899755, 'NDCG': 0.07749506167603722, 'MRR': 0.3497846969195089}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 220} - results: {'AUC': 0.31846913989179604, 'precision': 0.19128850612786308, 'recall': 0.04365235768269035, 'map': 0.12528352839424478, 'NDCG': 0.07799142421072142, 'MRR': 0.3527299326487793}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 180} - results: {'AUC': 0.32024953074969653, 'precision': 0.19264657171249394, 'recall': 0.04459076720497904, 'map': 0.12577725332155706, 'NDCG': 0.07898843543428641, 'MRR': 0.35287622833167714}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 175} - results: {'AUC': 0.31424588715910373, 'precision': 0.19168598873799914, 'recall': 0.04373611837508957, 'map': 0.12469908174156355, 'NDCG': 0.07707999679991842, 'MRR': 0.34839074748812976}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 200} - results: {'AUC': 0.31652313127967363, 'precision': 0.1943689963564161, 'recall': 0.04496547614853686, 'map': 0.1263545232048883, 'NDCG': 0.07984614348719708, 'MRR': 0.35462901623053955}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 260} - results: {'AUC': 0.31424588715910357, 'precision': 0.19294468367009554, 'recall': 0.04406301285231032, 'map': 0.12511625446247926, 'NDCG': 0.07751030247681165, 'MRR': 0.35292315336203955}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 225} - results: {'AUC': 0.3169095727061942, 'precision': 0.19198410069560087, 'recall': 0.04413825074590524, 'map': 0.1251063173972259, 'NDCG': 0.0787138027845752, 'MRR': 0.3533648007066357}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 265} - results: {'AUC': 0.3211190239593685, 'precision': 0.19426962570388223, 'recall': 0.04597692421151689, 'map': 0.12675752640683194, 'NDCG': 0.08150256428803644, 'MRR': 0.3596030694490444}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-06, 'epochs': 250} - results: {'AUC': 0.3168543667881199, 'precision': 0.1916859887379985, 'recall': 0.04337754145743637, 'map': 0.1255017757903655, 'NDCG': 0.07792692740429155, 'MRR': 0.3499392734901175}
