GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0564
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1781
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.0601
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1590
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0657
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.0577
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.0386
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.0129
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.1000000000000003, 'normalize_similarity': False}, map value is 0.0113
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'beta': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1377
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0294
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1613
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0307
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1740
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.0397
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1471
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0449
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.0516
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.0317
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.0129
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.1000000000000003, 'normalize_similarity': False}, map value is 0.0109
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0004
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0001
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1351
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0217
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1571
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0218
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1689
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.0284
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1316
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0338
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.0475
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.0272
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'beta': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.0122
